"filename", "language", "XML", "JavaScript JSX", "JavaScript", "JSON", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\OrderCard\OrderCard.jsx", "JavaScript JSX", 0, 141, 0, 0, 0, 0, 1, 9, 151
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ui-kit\OrderCard\OrderCard.scss", "SCSS", 0, 0, 0, 0, 70, 0, 9, 2, 81
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\UpdateProduct.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 10, 31
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\UpdateProduct.scss", "SCSS", 0, 0, 0, 0, 0, 0, 52, 5, 57
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\Footer.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\Form.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 0, 14, 84
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\Header.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\ColorVariant.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Images.jsx", "JavaScript JSX", 0, 104, 0, 0, 0, 0, 0, 20, 124
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Images.scss", "SCSS", 0, 0, 0, 0, 87, 0, 5, 6, 98
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Main.jsx", "JavaScript JSX", 0, 264, 0, 0, 0, 0, 0, 30, 294
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Main.scss", "SCSS", 0, 0, 0, 0, 45, 0, 0, 2, 47
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\AddColor.jsx", "JavaScript JSX", 0, 139, 0, 0, 0, 0, 0, 16, 155
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\DeleteColor.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\EditColor.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 1, 8, 79
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\EditImage.jsx", "JavaScript JSX", 0, 83, 0, 0, 0, 0, 0, 8, 91
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Modals\EditProductModal.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Preview.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\updateProduct\components\tabs\Sales.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\BuyNowModal\BuyNowModal.jsx", "JavaScript JSX", 0, 95, 0, 0, 0, 0, 0, 17, 112
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\BuyNowModal\BuyNowModal.scss", "SCSS", 0, 0, 0, 0, 16, 0, 1, 0, 17
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ClientAllowModal\ClientAllowModal.jsx", "JavaScript JSX", 0, 72, 0, 0, 0, 0, 0, 9, 81
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\ClientAllowModal\ClientAllowModal.scss", "SCSS", 0, 0, 0, 0, 17, 0, 1, 1, 19
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\ux-kit\GoToCartModal\GoToCartModal.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 3, 43
